spam,text
FALSE,I'm home.
FALSE,Tell rob to mack his gf in the theater
FALSE,But i juz remembered i gotta bathe my dog today..
TRUE,CDs 4u: Congratulations ur awarded å£500 of CD gift vouchers or å£125 gift guaranteed & Freeentry 2 å£100 wkly draw xt MUSIC to 87066 TnCs www.ldew.com1win150ppmx3age16
FALSE,You're gonna have to be way more specific than that
TRUE,GENT! We are trying to contact you. Last weekends draw shows that you won a å£1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm
FALSE,Finish already... Yar they keep saying i mushy... I so embarrassed ok...
FALSE,at bruce b downs &amp; fletcher now
TRUE,FREE entry into our å£250 weekly comp just send the word WIN to 80086 NOW. 18 T&C www.txttowin.co.uk
FALSE,"Please protect yourself from e-threats. SIB never asks for sensitive information like Passwords,ATM/SMS PIN thru email. Never share your password with anybody."
FALSE,Got c... I lazy to type... I forgot Ì_ in lect... I saw a pouch but like not v nice...
FALSE,How is your schedule next week? I am out of town this weekend.
FALSE,"Feb  &lt;#&gt;  is \I LOVE U\"" day. Send dis to all ur \""VALUED FRNDS\"" evn me. If 3 comes back u'll gt married d person u luv! If u ignore dis u will lose ur luv 4 Evr"""
FALSE,Just haven't decided where yet eh ?
TRUE,"URGENT! You have won a 1 week FREE membership in our å£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18"
FALSE,ÌÏ log off 4 wat. It's sdryb8i
FALSE,"Whenevr ur sad, Whenevr ur gray, Remembr im here 2 listn 2 watevr u wanna say, Jus walk wid me a little while,&amp; I promise I'll bring back ur smile.:-)"
FALSE,"Chinatown got porridge, claypot rice, yam cake, fishhead beehoon... Either we eat cheap den go cafe n tok or go nydc or somethin..."
FALSE,Yup. Wun believe wat? U really neva c e msg i sent shuhui?
FALSE,"Not yet chikku..k, then wat abt tht guy did he stopped irritating or msging to u.."
FALSE,"I'll get there at 3, unless you guys want me to come some time sooner"
FALSE,Aiyo please Ì_ got time meh.
FALSE,Message:some text missing* Sender:Name Missing* *Number Missing *Sent:Date missing *Missing U a lot thats y everything is missing sent via fullonsms.com
FALSE,Yup ok...
FALSE,Guai... ÌÏ shd haf seen him when he's naughty... ÌÏ so free today? Can go jogging...
FALSE,Then why you not responding
FALSE,You are a very very very very bad girl. Or lady.
TRUE,"Loan for any purpose å£500 - å£75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'"
FALSE,Jay says that you're a double-faggot
TRUE,FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+
FALSE,"* Was a nice day and, impressively, i was sensible, went home early and now feel fine. Or am i just boring?! When's yours, i can't remember."
FALSE,How long does it take to get it.
FALSE,Yes. that will be fine. Love you. Be safe.
TRUE,"TheMob>Hit the link to get a premium Pink Panther game, the new no. 1 from Sugababes, a crazy Zebra animation or a badass Hoody wallpaper-all 4 FREE!"
FALSE,So the sun is anti sleep medicine.
FALSE,Do u noe how 2 send files between 2 computers?
FALSE,"Hey elaine, is today's meeting still on?"
FALSE,"\Happy valentines day\"" I know its early but i have hundreds of handsomes and beauties to wish. So i thought to finish off aunties and uncles 1st..."""
FALSE,Hi. Hope you had a good day. Have a better night.
FALSE,here is my new address -apples&pairs&all that malarky
FALSE,"God picked up a flower and dippeditinaDEW, lovingly touched itwhichturnedinto u, and the he gifted tomeandsaid,THIS FRIEND IS 4U"
FALSE,"Ya, told..she was asking wats matter?"
FALSE,If I die I want u to have all my stuffs.
TRUE,Guess what! Somebody you know secretly fancies you! Wanna find out who it is? Give us a call on 09065394514 From Landline DATEBox1282EssexCM61XN 150p/min 18
FALSE,"Hey there! Glad u r better now. I hear u treated urself to a digi cam, is it good? We r off at 9pm. Have a fab new year, c u in coupla wks!"
FALSE,Going to take your babe out ?
FALSE,I've told you everything will stop. Just dont let her get dehydrated.
